região,total,branca,preta,parda
Brasil,3181.866,1330.764,240.371,1564.049
Norte,298.364,63.254,13.746,213.563
Nordeste,911.845,200.037,97.565,609.461
Sudeste,1245.085,647.48,99.032,482.505
Sul,443.961,338.257,12.217,81.372
Centro-Oeste,282.611,81.736,17.811,177.149
