região,total,Sem instrução e fundamental incompleto,fundamental completo e mais
Brasil,1152.403,123.855,1028.548
Norte,74.363,16.481,57.882
Nordeste,269.118,34.475,234.643
Sudeste,547.354,60.061,487.294
Sul,168.386,8.869,159.517
Centro-Oeste,93.182,3.969,89.213
