região,total,branca,preta,parda
Brasil,1152.403,619.183,83.946,445.712
Norte,74.363,23.973,2.987,47.404
Nordeste,269.118,84.774,35.407,148.937
Sudeste,547.354,349.178,29.972,168.204
Sul,168.386,123.918,13.405,31.063
Centro-Oeste,93.182,37.34,2.175,50.104
